,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
HIRA,-0.06239145058267718,0.023380364838726665,0.10995716137024916,-0.11595629330423428,-0.008464754509127257
CTC-338M12.5,-0.06243327434947045,0.023287476837711565,0.10979207442097264,-0.11599771586695878,-0.008506738805835566
RP3-473L9.4,-0.062519212027946,0.023097618074107155,0.1091678466189144,-0.11608282858381012,-0.008593006930969975
SPON2,-0.06257961337694289,0.022964980245354635,0.10881162709769028,-0.11614264963728699,-0.008653641014969508
PPFIBP1,-0.06326983704864923,0.021495578980518508,0.10287556690928253,-0.11682621451298858,-0.009346552374788663
KCTD11,-0.0635434280063107,0.020936163182110758,0.10070559505319099,-0.11709715201404143,-0.009621223010683454
GRB10,-0.06364683920187787,0.020728039747992488,0.09995755208422773,-0.11719955818703041,-0.009725044419297628
LINC00954,-0.06413258021879073,0.019774365681091588,0.09586381056904307,-0.1176805631939634,-0.010212727836524986
STX4,-0.06461240375712145,0.018870097622663097,0.09264389013710564,-0.11815568375040825,-0.010694495297357318
HNRNPU-AS1,-0.06522502445177192,0.017768191052402182,0.08837581937058676,-0.11876226422380033,-0.01130963430339846
RP11-84C10.2,-0.0654147049940153,0.01743863025599517,0.08742321236514729,-0.1189500664822388,-0.011500102842914604
SLPI,-0.06594807605425858,0.01654043919518681,0.08358200657142272,-0.11947813538464813,-0.012035710676486476
CDK16,-0.066075896933075,0.016331313834185523,0.08296656760682485,-0.11960468111760074,-0.012164072187241151
MPPE1,-0.06618005162554631,0.016162627065208036,0.08232973572089884,-0.11970779547293486,-0.01226866872684543
TPGS1,-0.06665981532624828,0.015405202289011821,0.07889456697876675,-0.12018275219866982,-0.012750482924850162
TFRC,-0.06670957461262061,0.015328459565325324,0.07871371128140031,-0.12023201152132366,-0.012800456313971548
KREMEN1,-0.06684493260678166,0.015121397580501444,0.07786085475054944,-0.12036600815264417,-0.012936398085099497
PET100,-0.0668868577218778,0.015057764077226142,0.07783797857332864,-0.12040751121038552,-0.012978504420600192
BASP1,-0.06760922244406224,0.01399776103847845,0.07306523618986005,-0.12112257455340303,-0.013704021575435205
HBB,-0.06815131007198309,0.013246052399363016,0.06952347944417053,-0.12165914649696329,-0.014248512180277697
AC091814.2,-0.0684184871211107,0.012888844032108103,0.06783602122162159,-0.12192359354297867,-0.014516885338350239
RP1-313I6.12,-0.06860531177443636,0.012644146596008389,0.0667329959233776,-0.12210850471742771,-0.014704550989764649
CTB-31O20.2,-0.0694433516186669,0.011596313710853148,0.06189043834444096,-0.12293791556932496,-0.015546410025920693
RP11-661A12.14,-0.06945461158581706,0.011582775025025539,0.06189043834444096,-0.12294905908791832,-0.015557721828303759
PATZ1,-0.0694735843865671,0.011559994309035428,0.06189043834444096,-0.12296783564485822,-0.015576782001506622
TMEM107,-0.06972630513273692,0.011260315775258914,0.06078011355963618,-0.12321793873938858,-0.015830670298567138
RP11-544A12.8,-0.06973557917428107,0.011249450774179886,0.06078011355963618,-0.12322711659225237,-0.01583998731768832
SDPR,-0.0697377189949772,0.01124694518797017,0.06078011355963618,-0.12322923421781631,-0.01584213705602743
AEBP1,-0.06974287168229983,0.011240913767714394,0.06078011355963618,-0.12323433345727122,-0.01584731362707461
ZNF48,-0.07025890429052628,0.010651213462388221,0.05937941801477925,-0.1237449990487638,-0.016365752782383034
ALYREF,-0.07066576608738412,0.010205805916933007,0.057200682130302986,-0.12414760929125912,-0.016774532434151532
SNAPC1,-0.07069369676024852,0.010175845360481972,0.057200682130302986,-0.12417524745306292,-0.016802595426763198
SHPRH,-0.07101599995134096,0.009835733251974626,0.05561872969866605,-0.1244941692384302,-0.017126431651208283
FSCN1,-0.07120333564952239,0.00964272798912379,0.054690099042791644,-0.12467953444859778,-0.017314663606363113
LLGL1,-0.07165205588337868,0.009194070622305355,0.052775631970937084,-0.12512351964597365,-0.0177655461539384
NUP153,-0.0721235322144081,0.008742792980273485,0.05049029380705052,-0.12558999773934415,-0.01823931807001511
BZRAP1,-0.07334586921772869,0.0076635022967324416,0.04507942527489671,-0.12679926635509028,-0.01946771924541604
SLCO2B1,-0.0735625657926917,0.007485124416676327,0.04416688320399075,-0.12701362957977258,-0.0196855078560285
PLTP,-0.07370846226526133,0.007367130389601201,0.04374233668825713,-0.1271579522526383,-0.019832142449458023
MAP3K6,-0.07423212336276562,0.0069572192349138225,0.04156829102621466,-0.1276759459268888,-0.020358471948310124
SNHG7,-0.07437289362229846,0.006850573651741506,0.04106022062558,-0.12781518770115252,-0.020499964618577372
