,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
PIAS3,-0.00015853792740720804,0.9962603809135908,0.999834867159821,-0.06635765212456705,0.06604196582767725
OCLN,-0.00017072101962520446,0.9959730064490844,0.999834867159821,-0.06636978156103454,0.06602983586243051
OPLAH,-0.00022583127116479557,0.9946730743164972,0.999834867159821,-0.0664246488562168,0.06597496568645456
PTPRN2,-0.00037457075892354354,0.9911647103190069,0.998302727780152,-0.06657273062003721,0.06582687215070239
APBB2,-0.0006582725404884417,0.9844734785599063,0.9936077685671632,-0.06685516979086978,0.06554439435421973
KDM2A,-0.0007062017969764495,0.9833431406332362,0.993491160660411,-0.06690288469138266,0.06549667083295056
GAK,-0.0008172421769850474,0.9807245557491642,0.9921223204251732,-0.06701342729768268,0.0653861059275816
C10orf95,-0.000960360926737592,0.9773497995322701,0.9894782355140562,-0.067155902075197,0.06524359761411537
MAFB,-0.001014184528377226,0.976080734363972,0.9888277024372962,-0.06720948279547369,0.06519000288444961
RP11-206L10.3,-0.0010908756757517853,0.9742725981189914,0.9882470909803786,-0.06728582721110452,0.0651136371879643
GORASP1,-0.0011032711589307976,0.9739803637192389,0.9882470909803786,-0.06729816657974864,0.0651012942341609
CDH23,-0.0011156467781809063,0.9736886011055692,0.9882470909803786,-0.06731048615418748,0.0650889710398978
MPPE1,-0.0012213991107371013,0.9711955739670846,0.9882470909803786,-0.06741575874858105,0.06498366586659782
IGF1R,-0.0013670141327054948,0.9677632801048877,0.986403176702431,-0.06756071078615365,0.06483866414473372
CACTIN,-0.0014042803891795206,0.9668849698288452,0.9862014424098052,-0.06759780692049079,0.0648015543966469
MAPK8IP3,-0.001432980286702461,0.9662085831646241,0.9862014424098052,-0.0676263756769438,0.06477297490626055
CEBPE,-0.001545788749873529,0.9635502021574612,0.9851860552607358,-0.06773866762224001,0.06466063866564638
PHRF1,-0.001638447106404319,0.9613669683046756,0.9843511152016345,-0.06783090046808471,0.06456836692700864
OSCAR,-0.001718304460527071,0.9594855853807457,0.9835983121337697,-0.06791039018925277,0.06448884187016254
PRSS57,-0.0017614429928884416,0.9584693649712588,0.9835983121337697,-0.06795332977859174,0.06444588249325629
NLRP12,-0.0017906135835252122,0.9577822273675562,0.9835983121337697,-0.06798236570352902,0.06441683290977487
AP003419.16,-0.0017969762621477582,0.957632353303401,0.9835983121337697,-0.06798869899402211,0.06441049661028246
PPP1R12C,-0.001875214899494169,0.9557895516031929,0.9835983121337697,-0.06806657582431655,0.06433258190732244
RNF145,-0.0018885068270368408,0.9554765019939764,0.9835983121337697,-0.06807980620446158,0.06431934493263315
AGFG1,-0.0019654333586036888,0.953664875227632,0.9835983121337697,-0.06815637607552297,0.06424273598104246
