,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
VILL,-0.008046793611509532,0.6826758343110748,0.81899152153443,-0.046592485448213164,0.030522825992721277
TLE3,-0.008055016975168198,0.6823692266851653,0.81899152153443,-0.04660069148885037,0.030514609755686428
ZER1,-0.008056855578361825,0.6823006816372574,0.81899152153443,-0.04660252621820162,0.0305127727451708
NISCH,-0.008085126939788367,0.6812470257795129,0.81899152153443,-0.04663073798057853,0.030484525840820148
KDM7A,-0.008158243797224015,0.6785248907995312,0.81899152153443,-0.046703700414707575,0.03041147194984314
HERC5,-0.0081727287845413,0.677986111494459,0.81899152153443,-0.04671815476082116,0.03039699938774181
ZNF212,-0.008174100987115157,0.6779350799785016,0.81899152153443,-0.04671952405983275,0.030395628361404147
ANKRD35,-0.008217309355880656,0.6763289389212808,0.8187791733094626,-0.046762640926172834,0.030352456956116835
DNAJC11,-0.00823117999308807,0.6758136511563597,0.8186551437037638,-0.04677648215905703,0.03033859815431574
PANK4,-0.008255667691865011,0.6749043149463236,0.8180533352925182,-0.04680091791030148,0.030314131313970698
RABL6,-0.008308233366159969,0.6729539221397769,0.816910297964106,-0.046853371917415496,0.030261610258609857
LINC00685,-0.008315069024667263,0.6727004534721727,0.816910297964106,-0.04686019303906489,0.030254780386715252
WDR24,-0.008449641276656723,0.667718063933868,0.8133199759096194,-0.04699447837483447,0.03012032132121981
GPR162,-0.00846196331546789,0.6672625803135586,0.8133199759096194,-0.04700677407268623,0.030108009576512197
PIWIL4,-0.008627428639693905,0.6611580852637161,0.8073131053435647,-0.0471718845483012,0.029942681351896826
CAMTA2,-0.008642395452360068,0.6606070174428984,0.8071372246391051,-0.047186819160020266,0.029927726836203403
TUBGCP6,-0.008670422566391594,0.6595755728566084,0.8063738353727833,-0.047214785927648155,0.029899722703255017
H6PD,-0.008681939158903222,0.6591519302730946,0.8063530399330947,-0.04722627770576437,0.029888215536324446
LINC01001,-0.008716964974991947,0.6578641630705648,0.8052744662771173,-0.0472612279902597,0.02985321832375557
GORASP1,-0.008729513634642777,0.6574030426453314,0.805207062115931,-0.047273749566328814,0.029840679888846356
HIST1H2BN,-0.008731892439318337,0.6573156443733497,0.805207062115931,-0.047276123235500504,0.029838303021070014
ZNF487,-0.00878024079484523,0.6555403218146497,0.804416125098051,-0.04732436711940959,0.029789993937801452
RP11-288H12.4,-0.008831421255029961,0.6536631230728873,0.8026092712405793,-0.04737543679240446,0.029738854853998558
KLHL18,-0.00888617551426568,0.6516572662832266,0.8011384742961181,-0.04743007230536481,0.029684144636791122
LSR,-0.008890391094063173,0.6515029377011681,0.8011384742961181,-0.04743427873321779,0.029679932438247788
MLYCD,-0.008987788791931082,0.6479414610736544,0.7980546070242587,-0.0475314646018487,0.02958261248017961
RP13-1032I1.7,-0.009023402313367797,0.6466412070251706,0.7977245373102747,-0.04756700048561049,0.029547027201766062
C18orf54,-0.009090024126721032,0.6442117316466554,0.7968065607154529,-0.04763347680106708,0.029480457959797198
OSGIN1,-0.009109396888973552,0.6435059822653832,0.7965495398453527,-0.04765280719033521,0.029461100420412542
CREBZF,-0.009125301035779557,0.6429268345187675,0.7963297394445447,-0.04766867652929064,0.02944520874925617
MANEA-AS1,-0.009155646973390776,0.6418223921568832,0.7954586272794371,-0.04769895599773452,0.029414886561736096
KIFC2,-0.009221847155703898,0.6394157806620581,0.7939646168145655,-0.04776501093059641,0.0293487379443064
CCL3L1,-0.009236688507503393,0.6388767637223706,0.7937923699633214,-0.047779819672808005,0.029333908106426658
IBSP,-0.009306003683818693,0.6363618614850483,0.7911633676017873,-0.04784898232466607,0.02926464647998055
RP11-146F11.1,-0.009362967825861672,0.6342982096820553,0.7890924402757313,-0.047905820843395286,0.029207726068674552
SLC40A1,-0.009449452320773044,0.6311705455366219,0.7861879345471867,-0.04799211413645618,0.02912130748875865
HSPH1,-0.009451995726290215,0.6310786641375561,0.7861879345471867,-0.04799465191024685,0.029118766012994776
TPGS1,-0.009496508945974801,0.6294715321863209,0.7855519498587001,-0.04803906648613375,0.0290742864860038
RP5-1073O3.7,-0.009530997741372092,0.6282275318767536,0.7854824689228262,-0.04807347874762833,0.029039823690646477
SEMA6B,-0.009577754886877924,0.6265427000085261,0.7848605016531315,-0.04812013198849652,0.028993101647484632
SOCS3,-0.009638695979837273,0.6243496890025909,0.7831027408552421,-0.04818093740455085,0.028932206052307115
SH3GLB2,-0.00966371863023502,0.6234501907112292,0.7828743547793633,-0.048205904262753396,0.02890720200056257
FGFBP3,-0.009861303845572485,0.6163673110296832,0.7765288295882223,-0.048403047237113805,0.02870976194950929
TRIM7,-0.009884735441786622,0.6155296982296993,0.7759665553652216,-0.04842642618887612,0.028686347368678512
AKTIP,-0.009932212296601696,0.6138340705568199,0.7743212225917138,-0.048473796246582414,0.028638904860486408
RP11-469M7.1,-0.010019784383549205,0.6107118611212479,0.7713640895563277,-0.04856117088911907,0.028551395670750337
PTCD1,-0.01012288949605769,0.6070449032035268,0.7682004103717892,-0.04866404277959951,0.028448363853957548
RP11-1000B6.3,-0.010166714089523925,0.605489252546416,0.7673246200337278,-0.04870776799493812,0.028404570166453705
HSF4,-0.010253102034239429,0.6024279596902018,0.7652880487288085,-0.048793959610833285,0.028318242710589553
RP11-395P17.3,-0.010260411439931305,0.6021692593431431,0.7652880487288085,-0.04880125237852878,0.02831093839654388
FBRSL1,-0.01026449037320045,0.6020249162180502,0.7652880487288085,-0.04880532202536105,0.028306862302821104
RP11-1017G21.5,-0.010265964184150616,0.6019727656118287,0.7652880487288085,-0.048806792480596564,0.028305389517547866
SMTN,-0.010269618063450694,0.6018434823522604,0.7652880487288085,-0.048810438039672,0.02830173818038879
RP11-554J4.1,-0.01028067713907098,0.6014522612470556,0.7652880487288085,-0.04882147192648613,0.028290686792710285
LILRA6,-0.010313424267971138,0.6002944859847206,0.7652880487288085,-0.04885414441341676,0.028257962373344974
CTA-445C9.15,-0.01034844678297748,0.5990573801255894,0.7652880487288085,-0.048889087008789994,0.028222964054317977
ABCC6,-0.010374076251677862,0.5981527986588226,0.7652880487288085,-0.0489146579325404,0.028197352232306436
CRIP2,-0.010454303809708599,0.5953252143434418,0.7638978744040181,-0.04899470190155635,0.02811717958606814
UBQLN2,-0.010523201516707546,0.5929018213377577,0.7624671282184005,-0.04906344155112996,0.028048328640067885
INTS1,-0.01058568468176556,0.5907079665562981,0.7601790969417578,-0.049125781058599625,0.027985887565989145
MYH11,-0.01061973687990209,0.5895139286474247,0.7601790969417578,-0.049159754839527905,0.02795185817995423
FOXP4,-0.0106430654128445,0.5886965577191552,0.7600164543991437,-0.0491830295988102,0.0279285452235584
ATP11B,-0.01102191527210746,0.5754964730748116,0.7473539660166021,-0.049561000327353985,0.027549942449929646
HIST2H2BE,-0.011045752177028073,0.5746706288538479,0.7472602341096265,-0.049584781549016126,0.027526120721375464
RP11-108M9.4,-0.01107331894293117,0.5737162605069284,0.746508756289527,-0.0496122838641765,0.027498571451919283
OAS2,-0.011084443241249112,0.5733313471602713,0.74649774223166,-0.04962338213747779,0.02748745419752782
FOLR2,-0.011146309235377558,0.5711929491653511,0.7456662918033272,-0.049685103224025154,0.027425627202974995
PSD4,-0.011165917899847456,0.5705159681571699,0.7452787647270539,-0.04970466589804732,0.02740603083797866
EMR3,-0.011198769250608462,0.5693826457215971,0.7442885869913823,-0.049737440132501566,0.027373200026683947
