,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
FAM160A2,-0.009051532535651146,0.645614930505583,0.9999402028067165,-0.047595069314884324,0.029518919218821837
CXCL5,-0.009053462788052313,0.6455445336802488,0.9999402028067165,-0.04759699535236025,0.029516990490213335
SIRT7,-0.009063091611089877,0.6451934153118284,0.9999402028067165,-0.04760660314548874,0.029507369264135285
TMEM144,-0.00908736327575495,0.6443086914553648,0.9999402028067165,-0.04763082176777996,0.02948311671764102
DLGAP1-AS2,-0.009109272630392838,0.6435105079804302,0.9999402028067165,-0.04765268320363049,0.029461224581444647
FOSB,-0.009158557940274358,0.6417164888840258,0.9999402028067165,-0.04770186058476784,0.029411977869374294
LYPD3,-0.009163918914843588,0.6415214714539443,0.9999402028067165,-0.04770720980819683,0.029406621081962934
RAB3GAP1,-0.00919194737020129,0.640502276325809,0.9999402028067165,-0.04773517678979217,0.029378614481995264
G6PD,-0.009207960319967614,0.6399203032786179,0.9999402028067165,-0.04775115459183034,0.029362613991259584
NOTCH1,-0.00921632598786719,0.6396163502628625,0.9999402028067165,-0.04775950188960875,0.029354254824488165
HNRNPL,-0.009226603798339764,0.6392430053837224,0.9999402028067165,-0.047769757123727656,0.02934398499372251
IGSF21,-0.009230863482173373,0.639088297712161,0.9999402028067165,-0.04777400744831027,0.029339728614726755
SBNO2,-0.00923426745583694,0.6389646798994721,0.9999402028067165,-0.0477774039418605,0.029336327281000413
RP6-91H8.3,-0.009241483629234994,0.6387026523896839,0.9999402028067165,-0.04778460425502176,0.02932911670112091
FOLR2,-0.009254005751867,0.6382480667657354,0.9999402028067165,-0.047797098846104995,0.02931660427531501
UBE2H,-0.009283641535024029,0.6371727522226562,0.9999402028067165,-0.047826669423005674,0.02928699139322876
S1PR3,-0.009286446346709346,0.63707102099323,0.9999402028067165,-0.0478294680598927,0.029284188745456376
COL6A3,-0.009295129657450212,0.6367561184532,0.9999402028067165,-0.04783813225047162,0.029275512130047008
RP11-443B7.1,-0.009301331650921124,0.6365312416608653,0.9999402028067165,-0.04784432058395098,0.02926931491511106
TYK2,-0.009305276265333121,0.636388232112559,0.9999402028067165,-0.047848256508746134,0.02926537333841751
PKIB,-0.009327602458573734,0.6355790651275635,0.9999402028067165,-0.047870533496911276,0.029243064315806266
MARVELD1,-0.009341910059767061,0.6350607439324487,0.9999402028067165,-0.0478848095451808,0.029228767698100577
GMIP,-0.00935038286289761,0.6347538840691005,0.9999402028067165,-0.04789326365559541,0.029220301391830274
CDKN1A,-0.009357283721574806,0.6345040017101163,0.9999402028067165,-0.047900149285503395,0.029213405820572885
PITPNM1,-0.009383018689735434,0.6335724972270023,0.9999402028067165,-0.04792582742960396,0.02918769053810444
IFI30,-0.009400602578070263,0.6329363631820667,0.9999402028067165,-0.04794337246256268,0.02917012007101936
PADI4,-0.00940099399296617,0.6329222060109096,0.9999402028067165,-0.047943763012272746,0.02916972895460741
QPCT,-0.009409521984920986,0.6326137885636338,0.9999402028067165,-0.047952272150977256,0.029161207462970202
S100P,-0.009432584081255494,0.6317800605921147,0.9999402028067165,-0.04797528323478361,0.029138162917247343
RNU12,-0.009435656339663291,0.6316690293102889,0.9999402028067165,-0.047978348694378156,0.029135092993780847
CCL3L3,-0.009457117659650262,0.6308936498231623,0.9999402028067165,-0.047999762500874385,0.02911364796427628
ADAMTS2,-0.009473697740670936,0.6302949032238832,0.9999402028067165,-0.04801630585078336,0.0290970804442613
RP11-274B18.2,-0.009503785164405266,0.629208993606635,0.9999402028067165,-0.048046326565561896,0.0290670157605223
RNF44,-0.009509218904489431,0.6290129653789713,0.9999402028067165,-0.04805174825069311,0.029061586119804823
GRK6,-0.009552314294499568,0.627459177319665,0.9999402028067165,-0.048094747951554315,0.029018523161558864
AL592284.1,-0.009564294382750395,0.6270275324137407,0.9999402028067165,-0.04810670141380041,0.029006552063582176
KDM1B,-0.009568780865808677,0.6268659163790125,0.9999402028067165,-0.048111177922711926,0.02900206894448892
BRWD3,-0.009569544068844731,0.6268384253894695,0.9999402028067165,-0.048111939428875324,0.029001306313548074
PRR7,-0.009581443511110115,0.6264098679927363,0.9999402028067165,-0.04812381240863972,0.028989415785268733
SLAMF9,-0.009622583021811492,0.6249292036902356,0.9999402028067165,-0.04816486034757518,0.028948307008462112
KMT2E-AS1,-0.009648844482013632,0.6239848095779289,0.9999402028067165,-0.04819106328474529,0.02892206509905399
