,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
RUFY4,-0.0013499678611575963,0.9308906408193143,0.9582985671525854,-0.03184839654116387,0.02915097238665993
RAB13,-0.0013982796058567236,0.9284239284800029,0.9562619947205921,-0.0318966592991194,0.029102701537177016
RASAL3,-0.001443340894847149,0.9261237976593947,0.9551477887804514,-0.03194167476904426,0.029057678263712545
RP11-85A1.3,-0.0015681884147167072,0.9197543006023956,0.9518387529489908,-0.03206639469559334,0.028932935423793646
WDFY3,-0.0015832935590966014,0.9189840038110766,0.9515445158445732,-0.03208148433821029,0.02891784288008364
IL32,-0.00163871229899216,0.9161585449374383,0.9491208629563515,-0.03213684608515065,0.028862470251238448
NDST1,-0.0016493963647306474,0.915613951069981,0.949058822760732,-0.03214751914181653,0.02885179505363173
SREBF1,-0.001680226092086378,0.9140427046665306,0.9479319998607346,-0.032178317062618436,0.028820990876975497
CXCL5,-0.0017271960413808812,0.9116495143404777,0.947129159504516,-0.032225238442408544,0.02877405974351707
MARK4,-0.00179296742391554,0.9082997129070283,0.9444773435326401,-0.032290941587811345,0.02870834248828516
TNFRSF12A,-0.0018921507634614343,0.9032513070817101,0.9417284660628266,-0.0323900215272117,0.028609240274172686
LIN7A,-0.0019530847551333514,0.9001517074138022,0.9397547120895646,-0.03245089169702166,0.028548355825141366
AC093673.5,-0.0019922380638557656,0.8981608507351632,0.9384199283561631,-0.032490003877437744,0.028509234230751915
IPP,-0.00201391502263112,0.8970589013612118,0.9377689956568354,-0.03251165802563784,0.028487574790210503
ULK1,-0.002020645575771016,0.8967167935982152,0.9377689956568354,-0.03251838149041912,0.028480849670539893
PIWIL4,-0.0021103071729985457,0.8921612332962213,0.933646015389632,-0.032607948396210805,0.02839126019230074
PITPNM1,-0.002126626855211265,0.8913324347082461,0.9332774904592224,-0.03262425079054671,0.02837495358405389
HLX,-0.0021346938793095384,0.8909227929092579,0.9332774904592224,-0.032632309263036716,0.028366893016585584
SH3D19,-0.002170507135140982,0.8891045560851918,0.9319848060244256,-0.03266808450644255,0.028331108376829606
DPP8,-0.0021795499957164206,0.8886455424081883,0.9319848060244256,-0.03267711775650863,0.02832207272946152
ZNF821,-0.0022153585156040275,0.886828277496058,0.9310508135856738,-0.032712888171133915,0.02828629272396276
F2RL1,-0.002279454306548442,0.8835769381879494,0.9281350026673846,-0.032776915560129995,0.028222247777450565
RGL4,-0.0023062152515991264,0.8822200323013943,0.9272070978240097,-0.03280364787227785,0.028195507986601958
ANKRD35,-0.0023094446462023875,0.8820563100711701,0.9272070978240097,-0.03280687380863623,0.028192281141844116
LINC00861,-0.002316843356830048,0.8816812329451758,0.9272070978240097,-0.0328142645938498,0.028184888270648047
RP11-1275H24.2,-0.0024253060674257454,0.8761858106695884,0.9233382044567453,-0.03292261073759157,0.028076510781230166
SH3TC2,-0.002425543153706905,0.8761738047787903,0.9233382044567453,-0.03292284756828666,0.028076273880446673
ACAP3,-0.0024486800423278374,0.8750023056288374,0.9230897168218015,-0.03294595949817801,0.028053155077777222
CDH23,-0.0024538063426766833,0.8747427806114251,0.9230897168218015,-0.032951080264158356,0.02804803278020731
NELFB,-0.002454658631712796,0.8746996337758653,0.9230897168218015,-0.032951931632905565,0.028047181156510382
LENG8,-0.002457007140711227,0.8745807432529348,0.9230897168218015,-0.03295427760579022,0.028044834480645688
SLC35D2,-0.0025562231922372607,0.8695606648201487,0.9198270025488121,-0.03305338620865331,0.027945695565296805
CD14,-0.002582232947349837,0.8682454980875345,0.9189322623002122,-0.033079367696584434,0.027919705932369747
NACC2,-0.0026594160876735914,0.8643449400491326,0.915298752090969,-0.03315646671228616,0.027842582261251823
KLRB1,-0.0028136083511763966,0.8565625958444556,0.9084334282920561,-0.03331048982937381,0.027688507714708672
LIN37,-0.0028543994102974185,0.854506099344774,0.9073334829268261,-0.03335123589906898,0.027647747554806493
ARHGEF40,-0.002872079857745667,0.8536150389425115,0.9073334829268261,-0.03336889681483954,0.027630080468783947
SPATA13,-0.002916197689436883,0.8513924017168824,0.9055004468015511,-0.033412965826288596,0.027585995894616362
PIK3CD,-0.0029321246964569728,0.850590294821196,0.9054755173067858,-0.03342887517954834,0.027570080864767865
CRIM1,-0.0030113398132454376,0.8466032191362399,0.9018765522680945,-0.033508002263388195,0.027490925088341688
RP11-611L7.1,-0.003062735628741345,0.8440184429643286,0.9003410625679714,-0.033559340757448985,0.027439567569051606
SLC22A15,-0.003125438673980735,0.8408672832875844,0.8982095693819369,-0.033621973652428305,0.027376911027231443
PF4,-0.0031803060663630313,0.8381119938905187,0.8965926600043848,-0.03367677946433261,0.02732208413037284
APBB2,-0.0032021513019478234,0.837015536277554,0.8965407111769425,-0.03369860013084401,0.027300254966841977
TPM2,-0.003207782087071657,0.8367329667072833,0.8965407111769425,-0.03370422457837874,0.027294628319703623
LINC01003,-0.0032148948729367735,0.8363760560234501,0.8965407111769425,-0.03371132935586476,0.027287520758162865
RAB40C,-0.00321784108099459,0.836228228850193,0.8965407111769425,-0.03371427224584542,0.02728457671318457
AC016700.5,-0.0032512238881955936,0.8345536381553599,0.8958640479759838,-0.033747617419732104,0.027251218378375585
ZBTB45,-0.0032969246911624126,0.8322623534827173,0.8943851197141386,-0.0337932665928885,0.02720555096776082
CTB-31O20.2,-0.0033529954697293354,0.8294530999086673,0.8928362669715066,-0.03384927385248781,0.027149520984674536
SNHG10,-0.0033650557119627336,0.8288491420388991,0.8926769087525657,-0.03386132040742089,0.027137469492080145
LEF1,-0.003401241730185405,0.8270376115726754,0.8912160943639508,-0.033897465304555466,0.027101309673398907
UBE2H,-0.0035155142437579253,0.8213230256609361,0.8870107469631069,-0.0340116074373253,0.026987119371788486
FFAR3,-0.0035411451843842404,0.8200425520572707,0.8861166208212671,-0.03403720902474477,0.026961506761728055
GPRC5A,-0.0035647350374126063,0.8188644708631354,0.8858213447237675,-0.03406077182670266,0.026937933744141985
HSPH1,-0.0035978670087085675,0.8172105451975751,0.8850100926420642,-0.034093865747497766,0.026904825360957226
E4F1,-0.003680455776990807,0.8130913244027588,0.8820126388812197,-0.03417635937536298,0.026822295099942273
SSC5D,-0.0036831218560406764,0.8129584357048569,0.8820126388812197,-0.0341790223762256,0.026819630902659132
COL4A1,-0.0037869788534284046,0.8077859871678615,0.8785184033792184,-0.0342827591259632,0.026715846872190814
FAM24B,-0.003799418228076196,0.8071670200273027,0.8785064064555078,-0.03429518405399488,0.026703416192990808
TPCN2,-0.00383578838005511,0.8053579819695025,0.8775130376718341,-0.03433151191298975,0.026667071410586173
RP11-497H16.9,-0.003863907872164401,0.8039600416339896,0.8764775955007525,-0.034359598651146225,0.026638971477623178
TAF1C,-0.003866459807458492,0.8038332049451493,0.8764775955007525,-0.034362147611528455,0.026636421314999294
LINC00910,-0.004055205642732829,0.7944666558379967,0.870701556217124,-0.03455067231701746,0.02644780548906431
RFNG,-0.004078192328461639,0.793327928372445,0.870701556217124,-0.03457363192388337,0.02642483448835243
UNC13D,-0.004134464588680106,0.7905421440762153,0.8700851703773071,-0.03462983775818608,0.02636860048968222
ABTB1,-0.004155111455681597,0.7895206797023002,0.8694496573999458,-0.034650460204466126,0.026347967612822543
AKAP12,-0.004170570296582117,0.7887561195445434,0.8690965008825076,-0.03466590074394255,0.02633251922968725
LPP-AS2,-0.004177481896266858,0.7884143528045866,0.8690965008825076,-0.03467280415640796,0.026325612300923677
RP11-108M9.6,-0.0041965179325766915,0.7874732641103819,0.8686983535078107,-0.03469181762830453,0.026306589114281416
ATG2A,-0.0042020244636523825,0.7872010942899663,0.8686983535078107,-0.03469731762808339,0.026301086296093828
TMEM62,-0.0042092260398417175,0.7868451831409622,0.8686983535078107,-0.034704510659695154,0.026293889572920708
PRF1,-0.00421631002567334,0.7864951268760142,0.8686983535078107,-0.03471158623738618,0.026286810357778367
RP11-686O6.2,-0.00422752992182525,0.7859407822316029,0.8686983535078107,-0.03472279281013798,0.026275598011372046
LMNB1,-0.004235261623970318,0.7855588428972738,0.8686983535078107,-0.03473051532657969,0.026267871507338277
CPT1A,-0.0042682491735222105,0.7839298674165343,0.8685239155606309,-0.034763463644126184,0.026234906094745266
HDAC7,-0.00430547587991976,0.7820926922410272,0.8671220223147968,-0.03480064599728398,0.026197704290399526
F8A1,-0.004413276728995258,0.7767794964565874,0.8622076270192732,-0.03490831793233886,0.026089975075939256
MAP4K4,-0.0044474272525781,0.7750984763788716,0.8613182841940015,-0.03494242746924203,0.02605584709790481
ZNF414,-0.004459772159416849,0.774491071300519,0.861132037255205,-0.0349547575425222,0.026043510323449686
CLTCL1,-0.004477344354141178,0.7736267065486949,0.861132037255205,-0.03497230860660076,0.02602594968863389
AGAP3,-0.004544584902078935,0.7703217869180086,0.8579579401510016,-0.035039468123765,0.025958753201199277
MLYCD,-0.004551330927878303,0.7699904439353433,0.8579579401510016,-0.03504620600480759,0.025952011580632067
STX4,-0.004579602336051256,0.7686023008374017,0.8570178274713168,-0.035074443249582886,0.025923758603833662
COL18A1,-0.004581440578704281,0.7685120676388275,0.8570178274713168,-0.03507627926920282,0.025921921557924624
CHGB,-0.00459557087031092,0.7678185635147006,0.8570178274713168,-0.035090392465819575,0.02590780045862846
RP11-214N9.1,-0.004683782311326861,0.7634934318249792,0.854240079721891,-0.03517849691264551,0.02581964612742147
ARL8A,-0.004725030547187522,0.7614734920550947,0.8535479834824051,-0.03521969495468923,0.025778424433687823
PPP2R5A,-0.004755512321163709,0.7599818318338868,0.8531538463863464,-0.03525013956965726,0.02574796220725772
LTB,-0.004774023334438957,0.7590764092266868,0.8529895250163501,-0.03526862798933668,0.025729463037196233
RP11-890B15.3,-0.004857588347920993,0.7549931478724577,0.8505619007677057,-0.03535209074783198,0.025645951227977134
PINK1,-0.004866324527289457,0.7545666620271849,0.8505619007677057,-0.03536081621254574,0.025637220586187025
GPD2,-0.0049195511462464345,0.7519698467526977,0.848620726191229,-0.03541397745024347,0.02558402760530121
PLD1,-0.004920809685172585,0.7519084790943005,0.848620726191229,-0.03541523444114671,0.025582769859654013
NBEAL2,-0.004954298126448389,0.7502761250968872,0.8476864702479545,-0.0354486816556656,0.025549302491251414
KIF11,-0.005015245756214562,0.7473081764332399,0.8462865294715348,-0.0355095540790726,0.02548839303781311
EFCAB4A,-0.005087907082865926,0.7437747000037735,0.8437490513368416,-0.03558212544955603,0.02541577692874759
MPP7,-0.0051132848824538574,0.7425418581559551,0.8433277020123898,-0.03560747175514508,0.02539041484607032
MTRNR2L12,-0.005265910861311986,0.7351413765884699,0.8385872370147708,-0.03575990749680805,0.025237882562886598
CMTM4,-0.005266220075729769,0.735126408145781,0.8385872370147708,-0.03576021632437223,0.025237573536851007
PGS1,-0.0053427043982665024,0.731427058733793,0.8370158860320086,-0.035836604779612126,0.025161135631672833
SGSH,-0.005349192445672723,0.7311135341954214,0.8370158860320086,-0.035843084678347424,0.025154651505368126
ASPHD2,-0.005359890863894473,0.7305966482520232,0.8370158860320086,-0.03585376965427801,0.02514395954721253
THBS3,-0.005405105892619364,0.7284134712376933,0.835611428776818,-0.03589892779446835,0.025098771743775256
ACPL2,-0.005427925406672025,0.7273124807460525,0.8352362682115957,-0.03592171855023658,0.02507596592268697
ACPP,-0.005441428363331639,0.7266612580279573,0.8349781356917492,-0.035935204474862294,0.0250624710535921
MPZL3,-0.005448738370886397,0.7263087921461113,0.8349781356917492,-0.03594250525726228,0.02505516541971119
RP11-467D6.1,-0.0055235738255949764,0.7227038016887896,0.8323847315921471,-0.03601724608316664,0.024980374552628054
RAB3GAP1,-0.005553674107861947,0.7212555320093283,0.8316951305502149,-0.03604730820768115,0.024950292108080092
EML3,-0.005617313851434706,0.7181968097472033,0.829633836864321,-0.036110867094257426,0.024886689896163862
ARMC5,-0.005700362653493699,0.7142120140147703,0.8269823320171025,-0.03619381000826634,0.024803689700886877
KRT18,-0.005757995297858111,0.7114512841021159,0.8242731445396111,-0.03625136892350649,0.024746090540556286
JMJD4,-0.005807012447601057,0.709106225985587,0.8220426231378208,-0.036300323206669594,0.024697101709946254
GMIP,-0.005861223929039788,0.7065158684832896,0.8200264894214739,-0.03635446498914453,0.02464292137799607
PUM1,-0.0059317415669098775,0.7031514443967875,0.8180454712590076,-0.03642489169557721,0.024572443990845096
INPP5A,-0.005935946220397418,0.7029510213880499,0.8180454712590076,-0.036429090917658724,0.024568241727750417
SNAI3-AS1,-0.005947490821062665,0.7024008316250856,0.8180454712590076,-0.036440620599925554,0.024556703684777387
PTTG1,-0.005997193589215631,0.7000338919297668,0.8163587614046953,-0.036490259047448396,0.02450702905653206
PIGQ,-0.006009844976513048,0.699431872571427,0.8161427929051575,-0.03650289403849011,0.024494384807941028
RP11-792A8.4,-0.00600991966361237,0.6994283191277693,0.8161427929051575,-0.03650296862876566,0.024494310162955876
AC069363.1,-0.006014481996970647,0.6992112660809975,0.8161427929051575,-0.03650752504690657,0.024489750401537138
PLEKHM2,-0.006144256583397871,0.6930475881670308,0.8111100882433032,-0.036637130845325216,0.02436004844185665
RABL6,-0.006181803463384675,0.6912680485864983,0.8095112674236624,-0.03667462869959319,0.024322522382977736
HECW2,-0.006195186353691618,0.6906341758917572,0.80925297211015,-0.03668799409483304,0.024309146893188617
OPLAH,-0.006228785119278455,0.68904374629151,0.8088415199273241,-0.03672154888964866,0.024275566659038395
AP000769.1,-0.006259022692888773,0.6876135951193394,0.8077541515523529,-0.03675174683250233,0.024245345704144442
ABCA6,-0.006259936922784309,0.6875703720076181,0.8077541515523529,-0.03675265986329873,0.02424443197584575
RP11-701P16.5,-0.006261124139295442,0.6875142441126648,0.8077541515523529,-0.03675384552258694,0.02424324541063088
NOL3,-0.006314232540361167,0.685005209087982,0.8070037300807874,-0.036806884175738325,0.02419016605643829
GORASP1,-0.006325897201521558,0.6844545915663957,0.8070037300807874,-0.03681853349454662,0.024178507752059798
CITED2,-0.0063401283545430264,0.6837830525853315,0.8070037300807874,-0.03683274591832512,0.024164284343221393
P2RX1,-0.0063473497434761205,0.6834423855733646,0.8070037300807874,-0.036839957798662,0.024157066879236622
PCSK5,-0.006537406182471074,0.6744998652834424,0.8013778739229249,-0.03702976284343216,0.023967112596003776
FAM173A,-0.006613261783563889,0.6709434171740625,0.7976364364461532,-0.03710551749342792,0.023891297152465515
MIR4458HG,-0.0066353294179436004,0.6699101657746118,0.7968919225921567,-0.03712755569367634,0.023869241134688513
NUDCD3,-0.00666516305220284,0.668514286765486,0.7961619092599351,-0.037157349488247504,0.023839423157914052
RP11-134P9.3,-0.006672335043501129,0.6681788886145025,0.7961619092599351,-0.03716451189402168,0.023832254922575406
CXCL12,-0.006696435363569313,0.6670523225740408,0.7961619092599351,-0.03718857998053062,0.023808167200824366
NR2C2,-0.006724018095008372,0.6657638919450848,0.7953420991021818,-0.037216125777362496,0.023780598844649527
ZNF48,-0.006759794197698995,0.6640942051131522,0.7947454540040544,-0.037251853905098886,0.02374484131824116
AC062017.1,-0.006780983377421789,0.6631060811515008,0.7941050195074243,-0.037273014633847516,0.023723663103924913
DUS1L,-0.006811835164469969,0.6616684040521592,0.7928682589560145,-0.03730382494692579,0.023692827233731426
ACADSB,-0.006829590149387899,0.6608415955721967,0.792843993056733,-0.037321556037587,0.023675081382537076
JMJD8,-0.006902020168176708,0.6574729907055179,0.7903763942102786,-0.037393888382778996,0.023602688424864855
