,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
GCH1,0.04064012210732751,0.03559632507490977,0.12654297979926715,0.002738772637863087,0.07842487812029317
GUCY2C,0.040527825894899554,0.036109204362123365,0.1281315642904597,0.002626291971227602,0.0783130874714417
LPCAT1,0.04044955322954429,0.036470402960547064,0.12894180718838225,0.0025478913048778747,0.0782351666318227
RASGRP4,0.04042997568022796,0.03656122538550201,0.1290278881331989,0.002528281812813582,0.07821567700893826
IFI30,0.040134576983413196,0.037955156427378296,0.1337040991389134,0.0022324046812124804,0.07792160149716766
PIK3CB,0.0398250075779195,0.039464168822111415,0.13761615672285346,0.0019223410109021173,0.07761341169535561
WLS,0.039735747049780085,0.03990861389837875,0.13857355917129366,0.0018329393212087428,0.07752454761756337
RNF169,0.03967268512068392,0.040225163056016804,0.13917476201734158,0.0017697780277138118,0.07746176541587159
RELB,0.03937549042333297,0.04174576798524195,0.14366761641729542,0.0014721191223189278,0.07716588496764391
WARS,0.039016490692691926,0.0436471753694699,0.1494165209737938,0.001112567603013073,0.0768084639223134
VNN3,0.038973042739029656,0.0438821758313673,0.1496929759027837,0.0010690535339100652,0.0767652063701795
RP11-764K9.1,0.03890674296166388,0.04424283370216571,0.1506584916068485,0.0010026531437587827,0.07669919686346091
HAL,0.03877272561753693,0.04497949940200855,0.15226050003771852,0.0008684334431600007,0.07656576525625929
FURIN,0.03853302530017045,0.046322860553706685,0.15636986492999075,0.000628374601386826,0.07632710919857116
FAM212B,0.03826200010797565,0.0478822766011754,0.1610736549096732,0.00035694929391252145,0.0760572595171121
GPD2,0.03823998940739749,0.04801083407895185,0.16122669368035558,0.00033490634407753783,0.07603534403991553
IFIT3,0.038144391687828905,0.04857255753728273,0.16255057617218238,0.0002391689857172808,0.07594015947447308
SNORD3B-2,0.03812387045208159,0.048693854699242714,0.16267602748920845,0.00021861786536025535,0.07591972683757611
AC093673.5,0.0380929792021109,0.04887692621951461,0.16300706837126777,0.0001876816895399009,0.07588896889833611
GPR162,0.03796965706788056,0.049613535972887375,0.16489704336194247,6.418092809010817e-05,0.07576617824220273
CKB,0.037879846691869674,0.05015581424039773,0.1664144195566017,-2.575880702215786e-05,0.07567675419815546
OAS2,0.03755614704919425,0.05215168514181451,0.1721537769732346,-0.0003499196047681674,0.07535444195025055
MAP2K6,0.03748956722426154,0.05257032909446792,0.17294747249552922,-0.0004165932941295912,0.07528814651081783
SPIDR,0.037387498501154304,0.053217570056350874,0.17454316491816058,-0.0005188052596723764,0.07518651310980028
AC074289.1,0.037384730363892914,0.05323521567828494,0.17454316491816058,-0.0005215772706842427,0.07518375676767891
PADI4,0.03727255948516819,0.05395437368220077,0.17600914170949863,-0.0006339046320288981,0.0750720633674701
MT1F,0.03721957467775217,0.054296881105840945,0.17638563417934655,-0.0006869630226221196,0.07501930377100711
PFKFB4,0.037219471140492226,0.05429755216782417,0.17638563417934655,-0.0006870667034615234,0.07501920067362323
MPP7,0.03721255318410726,0.05434240558436334,0.17638563417934655,-0.0006939942514203452,0.07501231210621168
CPAMD8,0.03718147290660804,0.05454429967716072,0.176745385097444,-0.0007251175760569317,0.07498136381993303
