Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,regulation of neural precursor cell proliferation (GO:2000177),1/23,0.0283733377644313,0.0840993896327028,ID2
GO_Biological_Process_2021,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),1/23,0.0283733377644313,0.0840993896327028,SOCS3
GO_Biological_Process_2021,positive regulation of cell-substrate junction organization (GO:0150117),1/24,0.0295892653137072,0.0849617633212888,LIMS1
GO_Biological_Process_2021,potassium ion homeostasis (GO:0055075),1/24,0.0295892653137072,0.0849617633212888,ATP1B3
GO_Biological_Process_2021,protein exit from endoplasmic reticulum (GO:0032527),1/24,0.0295892653137072,0.0849617633212888,HERPUD1
GO_Biological_Process_2021,regulation of spindle assembly (GO:0090169),1/25,0.0308037321003649,0.0849617633212888,CHMP1B
GO_Biological_Process_2021,fat-soluble vitamin metabolic process (GO:0006775),1/25,0.0308037321003649,0.0849617633212888,LGMN
GO_Biological_Process_2021,receptor catabolic process (GO:0032801),1/25,0.0308037321003649,0.0849617633212888,LGMN
GO_Biological_Process_2021,negative regulation of response to endoplasmic reticulum stress (GO:1903573),1/25,0.0308037321003649,0.0849617633212888,HERPUD1
GO_Biological_Process_2021,sodium ion homeostasis (GO:0055078),1/25,0.0308037321003649,0.0849617633212888,ATP1B3
GO_Biological_Process_2021,ventricular cardiac muscle tissue development (GO:0003229),1/25,0.0308037321003649,0.0849617633212888,ID2
GO_Biological_Process_2021,endosome transport via multivesicular body sorting pathway (GO:0032509),1/25,0.0308037321003649,0.0849617633212888,CHMP1B
GO_Biological_Process_2021,positive regulation of ion transmembrane transporter activity (GO:0032414),1/26,0.0320167398038226,0.0849617633212888,ATP1B3
GO_Biological_Process_2021,chaperone cofactor-dependent protein refolding (GO:0051085),1/26,0.0320167398038226,0.0849617633212888,HSPA8
GO_Biological_Process_2021,regulation of monocyte chemotaxis (GO:0090025),1/26,0.0320167398038226,0.0849617633212888,LGMN
GO_Biological_Process_2021,regulation of potassium ion transmembrane transporter activity (GO:1901016),1/26,0.0320167398038226,0.0849617633212888,ATP1B3
GO_Biological_Process_2021,positive regulation of mitotic cell cycle (GO:0045931),1/27,0.0332282900970065,0.0849617633212888,LGMN
GO_Biological_Process_2021,cellular response to cadmium ion (GO:0071276),1/27,0.0332282900970065,0.0849617633212888,MT2A
GO_Biological_Process_2021,cellular response to unfolded protein (GO:0034620),1/27,0.0332282900970065,0.0849617633212888,HSPA8
GO_Biological_Process_2021,cellular senescence (GO:0090398),1/27,0.0332282900970065,0.0849617633212888,ID2
GO_Biological_Process_2021,stress-activated protein kinase signaling cascade (GO:0031098),1/27,0.0332282900970065,0.0849617633212888,MAP3K8
GO_Biological_Process_2021,dendritic spine organization (GO:0097061),1/27,0.0332282900970065,0.0849617633212888,LGMN
GO_Biological_Process_2021,monovalent inorganic cation homeostasis (GO:0055067),1/27,0.0332282900970065,0.0849617633212888,PDK4
GO_Biological_Process_2021,regulation of small molecule metabolic process (GO:0062012),1/28,0.0344383846472214,0.0849617633212888,PDK4
GO_Biological_Process_2021,entrainment of circadian clock by photoperiod (GO:0043153),1/27,0.0332282900970065,0.0849617633212888,ID2
GO_Biological_Process_2021,regulation of protein transport (GO:0051223),1/28,0.0344383846472214,0.0849617633212888,HSPA8
GO_Biological_Process_2021,cellular zinc ion homeostasis (GO:0006882),1/28,0.0344383846472214,0.0849617633212888,MT2A
GO_Biological_Process_2021,cellular response to interleukin-6 (GO:0071354),1/28,0.0344383846472214,0.0849617633212888,SOCS3
GO_Biological_Process_2021,photoperiodism (GO:0009648),1/28,0.0344383846472214,0.0849617633212888,ID2
GO_Biological_Process_2021,macromolecule catabolic process (GO:0009057),1/28,0.0344383846472214,0.0849617633212888,LGMN
GO_Biological_Process_2021,response to zinc ion (GO:0010043),1/29,0.0356470251349897,0.0858863997404431,MT2A
GO_Biological_Process_2021,response to cadmium ion (GO:0046686),1/29,0.0356470251349897,0.0858863997404431,MT2A
GO_Biological_Process_2021,regulation of fatty acid biosynthetic process (GO:0042304),1/29,0.0356470251349897,0.0858863997404431,PDK4
GO_Biological_Process_2021,negative regulation of mRNA catabolic process (GO:1902373),1/29,0.0356470251349897,0.0858863997404431,FUS
GO_Biological_Process_2021,membrane organization (GO:0061024),2/242,0.0364371283753744,0.0862723627796209,HSPA8;CHMP1B
GO_Biological_Process_2021,regulation of long-term synaptic potentiation (GO:1900271),1/30,0.0368542132262458,0.0862723627796209,LGMN
GO_Biological_Process_2021,positive regulation of DNA recombination (GO:0045911),1/30,0.0368542132262458,0.0862723627796209,FUS
GO_Biological_Process_2021,zinc ion homeostasis (GO:0055069),1/30,0.0368542132262458,0.0862723627796209,MT2A
GO_Biological_Process_2021,multivesicular body assembly (GO:0036258),1/30,0.0368542132262458,0.0862723627796209,CHMP1B
GO_Biological_Process_2021,positive regulation of mononuclear cell migration (GO:0071677),1/31,0.0380599505912853,0.0869724001271302,LGMN
GO_Biological_Process_2021,cellular response to topologically incorrect protein (GO:0035967),1/32,0.0392642388923452,0.0869724001271302,HSPA8
GO_Biological_Process_2021,regulation of cellular biosynthetic process (GO:0031326),1/32,0.0392642388923452,0.0869724001271302,PDK4
GO_Biological_Process_2021,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),1/31,0.0380599505912853,0.0869724001271302,SOCS3
GO_Biological_Process_2021,'de novo' posttranslational protein folding (GO:0051084),1/31,0.0380599505912853,0.0869724001271302,HSPA8
GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",2/251,0.0389379257150902,0.0869724001271302,HSPA8;FUS
GO_Biological_Process_2021,metal ion export (GO:0070839),1/32,0.0392642388923452,0.0869724001271302,ATP1B3
GO_Biological_Process_2021,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),1/32,0.0392642388923452,0.0869724001271302,ID2
GO_Biological_Process_2021,multivesicular body organization (GO:0036257),1/31,0.0380599505912853,0.0869724001271302,CHMP1B
GO_Biological_Process_2021,regulation of centrosome duplication (GO:0010824),1/32,0.0392642388923452,0.0869724001271302,CHMP1B
GO_Biological_Process_2021,RNA stabilization (GO:0043489),1/33,0.040467079797891,0.0891574164531076,FUS
GO_Biological_Process_2021,regulation of glucose metabolic process (GO:0010906),1/34,0.041668474974439,0.0913160196248344,PDK4
GO_Biological_Process_2021,negative regulation of T cell proliferation (GO:0042130),1/35,0.0428684260822968,0.0915118732948513,VSIG4
GO_Biological_Process_2021,regulation of mitotic spindle organization (GO:0060236),1/35,0.0428684260822968,0.0915118732948513,CHMP1B
GO_Biological_Process_2021,regulation of muscle cell differentiation (GO:0051147),1/35,0.0428684260822968,0.0915118732948513,ID2
GO_Biological_Process_2021,regulation of lipid biosynthetic process (GO:0046890),1/35,0.0428684260822968,0.0915118732948513,PDK4
GO_Biological_Process_2021,cellular response to amyloid-beta (GO:1904646),1/35,0.0428684260822968,0.0915118732948513,LGMN
GO_Biological_Process_2021,regulation of cell cycle G1/S phase transition (GO:1902806),1/36,0.044066934781374,0.0926304955608475,ID2
GO_Biological_Process_2021,positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),1/36,0.044066934781374,0.0926304955608475,LIMS1
GO_Biological_Process_2021,positive regulation of myeloid leukocyte differentiation (GO:0002763),1/36,0.044066934781374,0.0926304955608475,ID2
GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",2/274,0.0456178352792913,0.0954037976399392,HSPA8;FUS
GO_Biological_Process_2021,negative regulation of innate immune response (GO:0045824),1/38,0.0464596315903414,0.0961877799759832,VSIG4
GO_Biological_Process_2021,connective tissue development (GO:0061448),1/38,0.0464596315903414,0.0961877799759832,NAMPT
GO_Biological_Process_2021,negative regulation of lymphocyte proliferation (GO:0050672),1/39,0.0476538230195537,0.0976784830052545,VSIG4
GO_Biological_Process_2021,regulation of cellular component biogenesis (GO:0044087),1/39,0.0476538230195537,0.0976784830052545,HSPA8
GO_Biological_Process_2021,negative regulation of ERBB signaling pathway (GO:1901185),1/40,0.048846578661385,0.0991368985639932,LGMN
GO_Biological_Process_2021,positive regulation of double-strand break repair (GO:2000781),1/40,0.048846578661385,0.0991368985639932,FUS
GO_Biological_Process_2021,proteolysis (GO:0006508),2/287,0.0495694559308418,0.1001108619779747,CPM;LGMN
GO_Biological_Process_2021,signal release from synapse (GO:0099643),1/43,0.0524162474254504,0.1009160575404587,HSPA8
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),3/684,0.0524116198787514,0.1009160575404587,TGIF1;ID2;CREM
GO_Biological_Process_2021,regulation of cell-substrate adhesion (GO:0010810),1/43,0.0524162474254504,0.1009160575404587,LIMS1
GO_Biological_Process_2021,potassium ion import across plasma membrane (GO:1990573),1/42,0.0512277892154369,0.1009160575404587,ATP1B3
GO_Biological_Process_2021,positive regulation of ATPase activity (GO:0032781),1/42,0.0512277892154369,0.1009160575404587,ATP1B3
GO_Biological_Process_2021,regulation of transcription by RNA polymerase II (GO:0006357),6/2206,0.0503465780560093,0.1009160575404587,TGIF1;KLF6;FUS;ID2;NAMPT;CREM
GO_Biological_Process_2021,phosphatidylinositol phosphate biosynthetic process (GO:0046854),1/42,0.0512277892154369,0.1009160575404587,SOCS3
GO_Biological_Process_2021,positive regulation of potassium ion transmembrane transport (GO:1901381),1/44,0.053603276456753,0.1009160575404587,ATP1B3
GO_Biological_Process_2021,embryonic organ morphogenesis (GO:0048562),1/44,0.053603276456753,0.1009160575404587,ID2
GO_Biological_Process_2021,mRNA stabilization (GO:0048255),1/44,0.053603276456753,0.1009160575404587,FUS
GO_Biological_Process_2021,neurotransmitter secretion (GO:0007269),1/44,0.053603276456753,0.1009160575404587,HSPA8
GO_Biological_Process_2021,response to amyloid-beta (GO:1904645),1/44,0.053603276456753,0.1009160575404587,LGMN
GO_Biological_Process_2021,positive regulation of mRNA catabolic process (GO:0061014),1/44,0.053603276456753,0.1009160575404587,BTG2
GO_Biological_Process_2021,positive regulation of cell-matrix adhesion (GO:0001954),1/44,0.053603276456753,0.1009160575404587,LIMS1
