"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-CJ-5680-01",20.5455704951336,34.5458091335576,13.0185096914176,16.6584906168878,0.324609502474347
"TCGA-BP-5187-01",13.4576077768461,19.9476514988675,6.57954573025969,16.9925859155948,0.121397249219135
"TCGA-B0-5712-01",28.3856124229353,28.9855451983339,14.999000958207,23.6016726053195,0.211593070618437
"TCGA-B0-5693-01",13.6085208811925,19.6493572897692,7.03628363228387,17.9553893598863,0.137448090353411
"TCGA-BP-4782-01",12.257653707838,20.7274671457102,9.80526190657996,15.7614357999563,0.154668758004211
"TCGA-B0-4816-01",10.1599041976375,18.8573488130012,6.60151219859071,11.1027215305912,0.187956439861519
"TCGA-BP-4353-01",8.11989675606761,22.0125037720674,5.6901391607682,14.4891206811269,0.099391629908647
"TCGA-CZ-5465-01",16.4228407047657,29.2724118153642,10.7329949189196,21.2740129622009,0.243967798609637
"TCGA-B0-5088-01",16.941477203024,24.2348701737685,9.67592957360483,16.2418192369689,0.140431185574071
"TCGA-DV-5565-01",17.2635265320981,20.4791719610391,8.6041531069838,18.431559153945,0.198293277444856
"TCGA-CZ-5451-01",16.3809802702902,29.0301735757602,10.0514153193094,23.7385764442885,0.119862494857906
"TCGA-BP-4771-01",9.78773102978084,25.9974783241371,5.1840261393926,9.05485824036873,0.0983920997143313
"TCGA-CW-5588-01",12.3413782790477,20.1892740553619,5.76182581613349,12.7010288913944,0.114860487717753
"TCGA-BP-5169-01",17.4436133444795,29.6390491797303,8.37994824037394,12.2022216271735,0.107490939507497
"TCGA-BP-4342-01",17.8082694306323,33.5534331730813,6.85784344637997,17.9395137377798,0.158138205740464
"TCGA-A3-3372-01",8.65407872245305,21.2971015876778,6.02641424518715,12.4359173502137,0.18933809353928
"TCGA-BP-4177-01",21.8983866051654,33.790078689694,12.9437075191923,16.6053416623237,0.522170182009904
"TCGA-B0-4814-01",18.5433387904713,30.9193660523601,9.34051258645123,19.2129492954358,0.188178826869914
"TCGA-CW-5580-01",12.6551471295758,19.5339189927089,7.45464177038273,14.9518853334792,0.152558510121176
"TCGA-CZ-4860-01",16.9571919831841,26.7785791259239,5.66390106403261,18.9510494570396,0.0890348796295845
