TF,fdr,nes,es,tag %,gene %,lead_genes
ZNF217 human tf ARCHS4 coexpression,0.953526186,1.101608235,0.398777704,24/48,36.26%,CDC42SE1;IER5;KRT18;RASSF3;MAP3K1;IER5L;SULF2;MBOAT1;KDM2A;NR2C2;CHST15;HSPB1;RNF44;KRT8;NBEAL2;SREBF1;ZBTB7B;SETD1B;KDM3B;CBX4;PTPRJ;OSGIN2;STARD10;NOP9
TOX2 human tf ARCHS4 coexpression,0.95149315,1.100944043,0.459204404,26-Jul,12.72%,DUSP4;IER2;JUNB;NR4A2;JUND;MAF;TNFAIP3
BCL6 human tf ARCHS4 coexpression,0.965937682,1.095938387,0.397543553,26/107,16.96%,SPI1;APOBEC3A;TYMP;FCGR3A;MX2;CSF3R;CCR1;ITGAX;C5AR1;CDC42SE1;IRF1;NCF1;BCL3;ZNF467;TMEM154;LFNG;LILRA6;RASSF3;R3HDM4;HCAR2;SIGLEC14;CLEC12A;SBNO2;FFAR2;PADI2;YPEL3
ZNF780B human tf ARCHS4 coexpression,0.987767972,1.089119436,0.506585663,18-May,16.91%,NMNAT1;MDM4;CNKSR3;ZNF726;ZNF713
NKX3-1 human tf ARCHS4 coexpression,0.983271258,1.089115152,0.48567962,16-Jun,23.44%,PLA1A;NDRG1;RASSF3;MTRNR2L11;PDLIM5;MYH11
ZNF445 human tf ARCHS4 coexpression,0.982848299,1.088008085,0.497467675,16-Jun,23.80%,NMNAT1;MDM4;CNKSR3;ZNF713;NEDD4;RP11-111M22.2
HMGA1 human tf ARCHS4 coexpression,0.981918886,1.087182528,0.442948936,27-Jun,14.96%,PLAU;CDC42EP2;SLC20A1;PHLDA2;CALR;LMNA
PPARA human tf ARCHS4 coexpression,0.98025283,1.086520113,0.459692973,22-Oct,24.51%,GPM6A;KCNJ3;LRRC69;RNF122;GPR85;SLC35A3;NEDD4;RP11-111M22.2;EMX2;NEUROD2
ZNF275 human tf ARCHS4 coexpression,0.987771856,1.08356244,0.490510123,17-May,15.53%,MAF;ZNF467;SPHK1;HSF4;MECP2
FOSB human tf ARCHS4 coexpression,0.989450728,1.081926462,0.374678482,23/92,13.38%,CD83;ATF3;IER2;ZNF331;NR4A1;NR4A3;DUSP2;RGS1;JUNB;GADD45B;THBD;BTG2;SOCS3;PPP1R15A;IER5;JUN;BCL3;GRASP;NR4A2;GPR183;OTUD1;TNFAIP3;HLA-DPB1
GLIS3 human tf ARCHS4 coexpression,0.985501312,1.081833968,0.419614392,Oct-37,11.59%,PLTP;SDC2;RIN2;COL6A1;NNMT;ERRFI1;KCNMA1;COL1A2;GEM;ECE1
NKX6-2 human tf ARCHS4 coexpression,0.982485129,1.081549372,0.44056102,24-Dec,37.03%,CRYAB;PACS2;GPM6A;TMEM144;CA11;CDKN1C;HSPA2;BRSK1;AATK;MAPK8IP1;RAB11FIP4;S100B
SNAI3 human tf ARCHS4 coexpression,0.991616388,1.078245003,0.39332149,23/89,21.35%,TYMP;FCGR3A;CSF3R;CCR1;IFI30;ACP5;TREM2;ITGAX;C5AR1;CDC42SE1;NCF1;ZNF467;LFNG;LILRA6;R3HDM4;SIGLEC14;SBNO2;FFAR2;YPEL3;CSF2RB;BCL6;FOXO4;AQP9
HNF1B human tf ARCHS4 coexpression,0.997732784,1.075622361,0.467865101,23-Jun,20.02%,SPP1;PLA1A;CBWD3;B4GALT1;PAQR7;ELF3
NCOA3 human tf ARCHS4 coexpression,1,1.071377305,0.396672071,Nov-36,29.11%,OAS3;STAT1;KRT18;MAP3K1;SULF2;MBOAT1;KDM2A;HSPB1;ZNF217;KRT8;SREBF1
ZBED3 human tf ARCHS4 coexpression,1,1.070901408,0.455867039,27-Nov,32.23%,APOE;MT-ND6;KLHL15;PNPLA2;FBRSL1;ZSWIM4;MXD4;SREBF1;LMO2;H1FX;H1F0
MBNL3 human tf ARCHS4 coexpression,1,1.065372384,0.413845218,Aug-34,15.58%,A2M;ASGR2;COL27A1;TMEM154;R3HDM4;MAP3K1;C2;C3
ZNF302 human tf ARCHS4 coexpression,1,1.057418761,0.443655078,20-Oct,28.19%,IRF2BPL;GPM6A;KCNJ3;LRRC69;RNF122;PAQR7;GPR85;EMX2;NEUROD2;CDKN1C
PAX1 human tf ARCHS4 coexpression,1,1.055902455,0.429834328,29-Oct,26.86%,PLA1A;NR4A3;RARRES2;OTUD1;MAFB;KREMEN1;CD9;ATP1B1;MAPK13;SGK1
U2AF1 human tf ARCHS4 coexpression,1,1.054452048,0.402574764,20-Jul,20.84%,MS4A7;HES1;NMNAT1;MDM4;FLCN;PKIB;HIST1H4C
ZFY human tf ARCHS4 coexpression,1,1.047871385,0.476898508,16-Aug,34.53%,LPAR6;OTUD1;NFKBIZ;NLRP3;PELI1;USP6;MTRNR2L12;RGCC
