TF,fdr,nes,es,tag %,gene %,lead_genes
ETV6 human tf ARCHS4 coexpression,0.790543799,1.100147348,0.419966145,14/38,23.07%,NFKBIZ;NFKB1;HLA-DRB1;ITGAX;IRF1;SPI1;RUNX1;DOK3;PRKCD;KLF6;BCL3;LMO2;LILRA6;LYL1
HIF1A human tf ARCHS4 coexpression,0.790717493,1.098642126,0.399970901,Dec-56,7.05%,IER3;CXCL2;PLAUR;DAB2;ADM;NFKBIZ;FN1;PTGS2;ABCA1;NFKB1;THBS1;ABL2
PRDM2 human tf ARCHS4 coexpression,0.788374442,1.097777573,0.43214208,Jun-31,10.58%,TNFAIP3;NFKBIZ;CD83;PELI1;EIF2AK3;USP36
NRF1 human tf ARCHS4 coexpression,0.815025357,1.087049229,0.459766325,19-Jan,0.45%,FCGR3A
IRF2 human tf ARCHS4 coexpression,0.816903904,1.084607496,0.370516798,32/93,23.38%,FCGR3A;C5AR1;TREM1;FCGR2B;AQP9;ARAP1;ITGAX;IRF1;DPEP2;SPI1;DOK3;HCAR2;FPR2;APOBEC3A;TNFSF10;TYMP;RASSF3;SIRPB1;PRKCD;NFAM1;RASAL3;BCL3;NADK;ATG16L2;SIGLEC14;CLEC12A;CLEC4D;MAP3K3;YPEL3;LILRA6;FGD2;OAS2
IRF1 human tf ARCHS4 coexpression,0.849195618,1.072742203,0.364458234,26/84,22.57%,FCGR3A;C5AR1;TREM1;AQP9;ARAP1;ITGAX;DPEP2;SPI1;KCNE3;DOK3;HCAR2;FPR2;APOBEC3A;TNFSF10;TYMP;SIRPB1;PRKCD;NFAM1;RASAL3;BCL3;NADK;ATG16L2;SIGLEC14;MAP3K3;YPEL3;LILRA6
NCOA1 human tf ARCHS4 coexpression,0.848204607,1.071328577,0.382479675,20/51,35.82%,RGS2;TREM1;AQP9;AAK1;DMXL2;FPR2;TMEM170B;CR1;SOS2;SYNE1;GIMAP8;WDFY3;TLR8;PPP3R1;MAST3;MEFV;NLRP1;MAP3K5;PLCB1;SYNJ1
DRGX human tf ARCHS4 coexpression,0.851322936,1.06864635,0.457461085,18-Mar,6.90%,OLR1;CD81;DUSP2
TOX2 human tf ARCHS4 coexpression,0.864744807,1.062783456,0.455523905,26-Jun,7.25%,TNFAIP3;JUNB;MAF;JUND;NR4A2;IER2
RXRA human tf ARCHS4 coexpression,0.862746017,1.061691306,0.360048637,40/105,29.77%,FCGR3A;C5AR1;CEBPB;TREM1;AQP9;ITGAM;PLEKHO2;ARAP1;TOM1;ITGAX;DPEP2;SPI1;DOK3;FPR2;PNPLA6;TYMP;SIRPB1;PRKCD;TFE3;NFAM1;HK3;BCL3;NADK;ATG16L2;DENND4B;MAP3K3;YPEL3;LILRA6;ZNF865;GIMAP8;INPPL1;TLR8;FURIN;FOXO4;NLRC4;MINK1;PIK3CD;CCR1;GAK;TMEM127
RUNX1 human tf ARCHS4 coexpression,0.8599777,1.060743629,0.404858522,Aug-57,9.72%,SAMSN1;CEBPB;NFKBIZ;OSM;NFKB1;JUND;FOSB;BHLHE40
