Term,tag %,gene %,fdr,es,nes,lead_genes
MECP2 human tf ARCHS4 coexpression,36/110,27.40%,0.944697275,-0.196803813,-0.811520875,SUN2;NLRC5;FAM168B;GRK6;KLF13;ARHGEF11;ACAP3;HDAC4;NISCH;GSK3A;TUBGCP6;SETD1B;ATXN7L3;PTK2B;GIGYF1;UPF1;PPP1R12C;HTT;TNK2;MBD6;TPCN1;ANKRD52;REXO1;CUL9;FLYWCH1;SEC16A;NLRP1;BTBD2;CRTC1;KMT2B;NBEAL2;TMEM259;ZNF592;CIC;ENGASE;FAM219A
PLXNA4 human tf ARCHS4 coexpression,17-May,20.17%,0.942392348,-0.286121549,-0.813643488,ENC1;FRY;ZBTB18;ANKRD50;TMOD2
ZNF575 human tf ARCHS4 coexpression,Jul-34,10.27%,0.943589045,-0.272714439,-0.813896503,CD74;TREX1;SH2D3C;ORAI1;PTPN22;RAB27A;RNF166
TSC22D4 human tf ARCHS4 coexpression,28/115,18.07%,0.940002466,-0.204933451,-0.816648331,STXBP2;SUN2;RPS6KA1;GRK6;PSTPIP1;PIK3CD;KLF13;ACAP3;ATP2A3;CFP;NADK;IL17RA;RNF166;OSCAR;PHC2;FLOT2;SH3GLB2;ITPK1;OLIG1;ATXN7L3;PTK2B;UPF1;FGD3;PPP1R12C;CLCN7;MBD6;REXO1;ZBTB7B
HOXC5 human tf ARCHS4 coexpression,28-Sep,20.55%,0.938558214,-0.267456058,-0.818308856,DUS1L;RNPEP;CENPB;AKT1S1;UBE2M;ANKRD52;ADAM15;SDCCAG3;UBAP2L
ALX3 human tf ARCHS4 coexpression,22-Oct,33.60%,0.938454987,-0.283556002,-0.819207989,SULT1A1;PPP2R2D;TIRAP;WDR24;MAPKBP1;PINK1;CDK3;RPTOR;YTHDF3;NEURL4
HOXB9 human tf ARCHS4 coexpression,29-Sep,20.93%,0.93637559,-0.287638661,-0.821066498,NUP214;DUS1L;TTLL12;GSK3A;UBE2M;SDCCAG3;PIM1;UBAP2L;SMG5
HOXD8 human tf ARCHS4 coexpression,17-Mar,9.28%,0.934568533,-0.300790131,-0.823233956,LGALS1;CKAP4;TRAM2
BAZ2A human tf ARCHS4 coexpression,36/90,29.72%,0.933058534,-0.212997623,-0.824976661,SUN2;NLRC5;GRK6;PIK3CD;KLF13;ATP2A3;SYVN1;SETD1B;ATXN7L3;KDM3B;GIGYF1;UPF1;HDAC7;HTT;MBD6;ANKRD52;REXO1;ZBTB7B;PRKD2;SEC16A;SMG5;ABCA7;KMT2B;GATAD2A;NBEAL2;TMEM259;ZNF592;MED13L;XPO6;CIC;ENGASE;ATP11A;DVL3;TYK2;CSNK1G2;BRD1
PLXNB3 human tf ARCHS4 coexpression,Oct-47,15.94%,0.933716227,-0.256938609,-0.82550175,PAQR4;ACAP3;SCD5;ZBTB47;CENPB;SH3GLB2;ITPK1;OLIG1;TNK2;BACE1
PTF1A human tf ARCHS4 coexpression,21-Jun,18.76%,0.933580436,-0.298508819,-0.826399658,MTRNR2L1;ANKDD1A;LIN7A;HTT;BACE1;USP31
PKNOX2 human tf ARCHS4 coexpression,16-Apr,11.76%,0.934475714,-0.334365002,-0.826679636,IRS2;ENC1;WDPCP;COL9A3
FBXO41 human tf ARCHS4 coexpression,13/50,23.29%,0.934927865,-0.235588811,-0.827361362,NRGN;ACAP3;NISCH;KCTD2;SH3GLB2;ITPK1;ATXN7L3;PTK2B;TNK2;VAMP1;TMOD2;BTBD2;CRTC1
ZNF274 human tf ARCHS4 coexpression,Aug-44,16.78%,0.936510746,-0.24737826,-0.827392709,CXCR4;ANKRD13D;PRAM1;HBEGF;ZNF548;DAGLB;FGD3;TIRAP
SREBF2 human tf ARCHS4 coexpression,20/67,29.26%,0.937910555,-0.217924249,-0.827536289,FAM168B;ACAP3;NISCH;GSK3A;SH3GLB2;ATXN7L3;UPF1;HTT;PTOV1;ANKRD52;REXO1;SEC16A;SMG5;BTBD2;KMT2B;REPIN1;TMEM259;CIC;DVL3;ZDHHC8
ZFHX4 human tf ARCHS4 coexpression,20-Mar,9.86%,0.93813491,-0.296354676,-0.828298368,STMN1;SESN3;SOX4
SMAD3 human tf ARCHS4 coexpression,17/53,23.25%,0.939329543,-0.232638623,-0.828484538,FAM168B;VCL;CKAP4;ATP2B4;TRAM2;CENPB;AKT1S1;UPF1;HDAC7;TPCN1;SHC1;ANKRD52;SEMA4B;NPLOC4;SEC16A;QSOX1;PXN
PDX1 human tf ARCHS4 coexpression,29-Nov,22.68%,0.939509754,-0.268131869,-0.829351661,QPCT;ZDHHC2;RRAGD;ABCA5;SLC2A13;TSPAN2;CBX6;MAST3;RAP1GAP2;CPEB4;ZNF182
NKX2-5 human tf ARCHS4 coexpression,23-Oct,24.12%,0.935182202,-0.281595551,-0.832163366,AKT1S1;FBN2;GYS1;UBE2M;NCLN;ATPAF1;INPP5A;CHCHD10;SMG5;LRP3
ZBTB40 human tf ARCHS4 coexpression,38/99,29.72%,0.932051871,-0.221325693,-0.83441867,SUN2;NLRC5;MAP3K1;PIK3CD;KLF13;ATP2A3;RNF166;TUBGCP6;SETD1B;ATXN7L3;GIGYF1;UPF1;PSD4;PPP1R12C;HTT;REXO1;CUL9;FCHSD1;SEC16A;MYO1G;SMG5;NLRP1;RNF169;ABCA7;KMT2B;NBEAL2;TMEM259;ZNF592;MED13L;AHSA2;CIC;KDM7A;ENGASE;CCDC88B;ATP11A;TYK2;CSNK1G2;BRD1
