Term,tag %,gene %,fdr,es,nes,lead_genes
ZNF75A human tf ARCHS4 coexpression,Oct-35,17.24%,0.099095652,-0.525757537,-1.559118319,SERPINB10;MTRNR2L1;ANKRD27;BTBD3;MFN1;PANK3;PRMT7;ID1;PDE4D;LRP3
ZNF221 human tf ARCHS4 coexpression,16-Jul,20.59%,0.098514388,-0.586550213,-1.5607469,STMN1;SOX4;MTRNR2L12;HSDL1;RAB3IP;TMEM116;KLHL9
PBRM1 human tf ARCHS4 coexpression,13/32,17.20%,0.097402534,-0.484494214,-1.562556893,STMN1;SOX4;MKI67;MIB1;TIA1;PLEKHA8;MEX3C;NSUN6;ZNF407;RBM6;SYNE2;PIKFYVE;ZNF320
ZNF446 human tf ARCHS4 coexpression,22/62,19.52%,0.095290235,-0.459800208,-1.565871454,PIGQ;DUS1L;FLYWCH1;TMEM259;UBA1;CLK2;PTOV1;FZR1;FAM193B;INTS1;ZNF692;VARS2;ASB1;CDC34;UPF1;LRRC45;POLRMT;LRSAM1;SEC16A;DGCR2;MMS19;H1FX
ZNF607 human tf ARCHS4 coexpression,13/24,26.18%,0.095076508,-0.536891585,-1.567149056,STMN1;TOP2A;SOX4;ALG6;KIF23;ATMIN;RBM26;MMS19;ZNF697;INTS5;GABPA;PTPN4;ZNF780B
ZNF593 human tf ARCHS4 coexpression,16-Jul,13.05%,0.094793842,-0.648690324,-1.568102558,PRSS57;DUT;CLEC11A;SLBP;B3GALT6;TMEM160;ATP5D
EN1 human tf ARCHS4 coexpression,17-Aug,11.04%,0.09417319,-0.623400097,-1.569450339,STMN1;HIST1H4C;HSP90AA1;SLC16A10;NCK2;BASP1;ARMC10;ZNF281
TLX2 human tf ARCHS4 coexpression,22-Dec,29.30%,0.093276327,-0.55518574,-1.571252601,UBFD1;SRSF9;DUS1L;PYGO2;SLC4A2;PANK3;RPTOR;SMARCD2;FOXK2;DHX37;UBAP2L;NPLOC4
CENPB human tf ARCHS4 coexpression,42/81,29.98%,0.09128604,-0.461840496,-1.574757766,HSPB1;CALR;CLCN7;DNAJC5;DUS1L;STK11;GTPBP6;TMEM259;UBA1;UBE2M;GSK3A;SLC4A2;FZR1;INTS1;RPTOR;SLC38A10;ZDHHC5;UPF1;ZNF787;MOGS;ARFGAP1;POLRMT;LRP3;SEC16A;SMARCD2;LAMP1;G6PD;FAM168B;CSNK1G2;CLTB;REPIN1;ZNF282;REXO1;SLC27A4;SDF4;MGAT4B;MINK1;GATAD2A;TAOK2;NPLOC4;ADAM15;AKT1S1
ZNF300 human tf ARCHS4 coexpression,21-Aug,13.01%,0.089069351,-0.551873071,-1.578439513,STMN1;SOX4;RTN3;ZNF117;HSDL1;TIA1;FAM188A;DCTN4
